question,question_text,importance
"i-know-this-language-well","I know this language well",1
"i-enjoy-using-this-language","I enjoy using this language",1
"i-regularly-use-this-language","I regularly use this language",1
"i-find-it-easy-to-write-efficient-code-in-this-lan","I find it easy to write efficient code in this language",1
"i-find-this-language-easy-to-prototype-in","I find this language easy to prototype in",1
"when-i-write-code-in-this-language-i-can-be-very-s","When I write code in this language I can be very sure it is correct",1
"i-rarely-have-difficulty-abstracting-patterns-i-fi","I rarely have difficulty abstracting patterns I find in my code",1
"it-s-unusual-for-me-to-discover-unfamiliar-feature","It"s unusual for me to discover unfamiliar features",1
"i-usually-use-this-language-on-solo-projects","I usually use this language on solo projects",-1
"i-usually-use-this-language-on-projects-with-many-","I usually use this language on projects with many other members",1
"i-would-use-this-language-for-a-web-project","I would use this language for a web project",1
"i-would-use-this-language-for-a-desktop-gui-projec","I would use this language for a desktop GUI project",1
"i-would-use-this-language-for-mobile-applications","I would use this language for mobile applications",1
"i-would-use-this-language-for-casual-scripting","I would use this language for casual scripting",1
"it-is-easy-to-tell-at-a-glance-what-code-in-this-l","It is easy to tell at a glance what code in this language does",1
"i-find-code-written-in-this-language-very-elegant","I find code written in this language very elegant",1
"code-written-in-this-language-tends-to-be-terse","Code written in this language tends to be terse",1
"code-written-in-this-language-tends-to-be-verbose","Code written in this language tends to be verbose",-1
"there-is-a-lot-of-accidental-complexity-when-writi","There is a lot of accidental complexity when writing code in this language",-1
"this-language-allows-me-to-write-programs-where-i-","This language allows me to write programs where I know exactly what they are doing under the hood",1
"this-is-a-high-level-language","This is a high level language",1
"this-is-a-low-level-language","This is a low level language",-1
"this-language-has-a-strong-static-type-system","This language has a strong static type system",1
"this-language-is-very-flexible","This language is very flexible",1
"this-language-has-a-very-rigid-idea-of-how-things-","This language has a very rigid idea of how things should be done",-1
"this-language-has-a-niche-in-which-it-is-great","This language has a niche in which it is great",1
"this-language-has-a-niche-outside-of-which-i-would","This language has a niche outside of which I would not use it",-1
"i-would-use-this-language-to-write-a-command-line-","I would use this language to write a command-line app",1
"this-language-is-good-for-scientific-computing","This language is good for scientific computing",1
"this-language-is-expressive","This language is expressive",1
"writing-code-in-this-language-is-a-lot-of-work","Writing code in this language is a lot of work",-1
"i-can-imagine-using-this-language-in-my-day-job","I can imagine using this language in my day job",1
"this-language-excels-at-symbolic-manipulation","This language excels at symbolic manipulation",1
"this-language-excels-at-text-processing","This language excels at text processing",1
"this-language-excels-at-concurrency","This language excels at concurrency",1
"this-language-is-well-documented","This language is well documented",1
"the-resources-for-learning-this-language-are-of-hi","The resources for learning this language are of high quality",1
"this-language-has-a-good-community","This language has a good community",1
"third-party-libraries-are-readily-available-well-d","Third-party libraries are readily available, well-documented, and of high quality",1
"there-is-a-wide-variety-of-open-source-code-writte","There is a wide variety of open source code written in this language",1
"when-i-run-into-problems-my-colleagues-can-provide","When I run into problems my colleagues can provide me with immediate help with this language",1
"programs-written-in-this-language-will-usually-wor","Programs written in this language will usually work in future versions of the language",1
"this-language-has-a-wide-variety-of-agreed-upon-co","This language has a wide variety of agreed-upon conventions, which are generally adhered to reasonably well, and which increase my productivity",1
"code-written-in-this-language-tends-to-be-very-rel","Code written in this language tends to be very reliable",1
"code-written-in-this-language-is-very-readable","Code written in this language is very readable",1
"this-language-is-best-for-very-large-projects","This language is best for very large projects",0
"this-language-is-best-for-very-small-projects","This language is best for very small projects",0
"this-language-is-good-for-beginners","This language is good for beginners",1
"this-language-is-unusually-bad-for-beginners","This language is unusually bad for beginners",-1
"learning-this-language-improved-my-ability-as-a-pr","Learning this language improved my ability as a programmer",1
"i-enjoy-playing-with-this-language-but-would-never","I enjoy playing with this language but would never use it for real code",-1
"i-use-many-applications-written-in-this-language","I use many applications written in this language",1
"this-language-has-a-very-dogmatic-community","This language has a very dogmatic community",-1
"it-is-easy-to-debug-programs-written-in-this-langu","It is easy to debug programs written in this language when it goes wrong",1
"there-are-many-good-tools-for-this-language","There are many good tools for this language",1
"there-are-many-good-open-source-tools-for-this-lan","There are many good open-source tools for this language",1
"there-are-many-good-commercial-tools-for-this-lang","There are many good commercial tools for this language",1
